phase,iter,step,train_total,train_pde,train_high_bc,test_total,test_pde,test_high_bc,block_loss_before,block_loss_after,block_delta_weights,block_finite,block_num_steps
adam,1,1,1.0077729231877375,,,0.5788311168856155,,,,,,,
adam,2,2,0.7769470757400434,,,nan,,,,,,,
adam,3,3,0.6703375639148296,,,nan,,,,,,,
adam,4,4,0.6529719189278648,,,nan,,,,,,,
adam,5,5,0.6615464178499831,,,nan,,,,,,,
adam,6,6,0.6698680866827276,,,nan,,,,,,,
adam,7,7,0.6728530433911445,,,nan,,,,,,,
adam,8,8,0.6702359883826812,,,nan,,,,,,,
adam,9,9,0.661828458395414,,,nan,,,,,,,
adam,10,10,0.6467769304758189,,,nan,,,,,,,
adam,11,11,0.6238262545136658,,,nan,,,,,,,
adam,12,12,0.5920214804227959,,,nan,,,,,,,
adam,13,13,0.5518311320745195,,,nan,,,,,,,
adam,14,14,0.5065365754855715,,,nan,,,,,,,
adam,15,15,0.46313598416354923,,,nan,,,,,,,
adam,16,16,0.43103254112045986,,,nan,,,,,,,
adam,17,17,0.41642624961294966,,,nan,,,,,,,
adam,18,18,0.41455717002938397,,,nan,,,,,,,
adam,19,19,0.41122613018262366,,,nan,,,,,,,
adam,20,20,0.3955382799825254,,,nan,,,,,,,
adam,21,21,0.36706885913719645,,,nan,,,,,,,
adam,22,22,0.33295071267964427,,,nan,,,,,,,
adam,23,23,0.30192481833861623,,,nan,,,,,,,
adam,24,24,0.27943652012322134,,,nan,,,,,,,
adam,25,25,0.26556099598332616,,,nan,,,,,,,
adam,26,26,0.2563800330119822,,,nan,,,,,,,
adam,27,27,0.24717986426930832,,,nan,,,,,,,
adam,28,28,0.23492420072265735,,,nan,,,,,,,
adam,29,29,0.21902733000559438,,,nan,,,,,,,
adam,30,30,0.20097266004150072,,,nan,,,,,,,
adam,31,31,0.18337790967395917,,,nan,,,,,,,
adam,32,32,0.16875711744067054,,,nan,,,,,,,
adam,33,33,0.15831089703219825,,,nan,,,,,,,
adam,34,34,0.15136834386721246,,,nan,,,,,,,
adam,35,35,0.14594779537929786,,,nan,,,,,,,
adam,36,36,0.14008849009979307,,,nan,,,,,,,
adam,37,37,0.13295066525844396,,,nan,,,,,,,
adam,38,38,0.12501267267148375,,,nan,,,,,,,
adam,39,39,0.11750537070677156,,,nan,,,,,,,
adam,40,40,0.11161588410692277,,,nan,,,,,,,
adam,41,41,0.10789301886916078,,,nan,,,,,,,
adam,42,42,0.10604903235146079,,,nan,,,,,,,
adam,43,43,0.10517255444991724,,,nan,,,,,,,
adam,44,44,0.10423098329698109,,,nan,,,,,,,
adam,45,45,0.10260096094384925,,,nan,,,,,,,
adam,46,46,0.10032114523631266,,,nan,,,,,,,
adam,47,47,0.0979354671526455,,,nan,,,,,,,
adam,48,48,0.09607461020653504,,,nan,,,,,,,
adam,49,49,0.09506561675790842,,,nan,,,,,,,
adam,50,50,0.09478467383481573,,,nan,,,,,,,
adam,51,51,0.09478557989551557,,,nan,,,,,,,
adam,52,52,0.09458144497704696,,,nan,,,,,,,
adam,53,53,0.09390023007641632,,,nan,,,,,,,
adam,54,54,0.09278258464566827,,,nan,,,,,,,
adam,55,55,0.09149828116350144,,,nan,,,,,,,
adam,56,56,0.09035600670117208,,,nan,,,,,,,
